domain,method,seen,unseen,H-mean
all_but_angry -> angry,base,100.00 ± 0.00,91.67 ± 2.58,95.56 ± 1.40
all_but_angry -> angry,CCVAE,100.00 ± 0.00,85.52 ± 4.35,91.90 ± 2.53
all_but_angry -> angry,our_GRE,99.07 ± 0.93,94.10 ± 1.65,96.48 ± 1.00
all_but_angry -> angry,TUPL,94.79 ± 4.09,45.24 ± 5.09,60.57 ± 4.98
all_but_angry -> angry,our_TUPL_interp_src2tgt,94.70 ± 2.75,51.70 ± 8.17,64.45 ± 7.42
all_but_childlike -> childlike,base,95.83 ± 2.08,91.18 ± 2.11,93.28 ± 1.12
all_but_childlike -> childlike,CCVAE,94.44 ± 2.73,84.33 ± 3.56,88.76 ± 2.05
all_but_childlike -> childlike,our_GRE,93.06 ± 3.79,95.36 ± 0.74,94.01 ± 2.16
all_but_childlike -> childlike,TUPL,90.05 ± 2.75,36.11 ± 4.63,50.61 ± 4.90
all_but_childlike -> childlike,our_TUPL_interp_src2tgt,91.32 ± 4.11,55.65 ± 8.87,65.93 ± 6.19
all_but_depressed -> depressed,base,95.74 ± 1.65,73.82 ± 7.28,82.17 ± 5.11
all_but_depressed -> depressed,CCVAE,95.74 ± 1.65,75.94 ± 5.93,83.94 ± 3.97
all_but_depressed -> depressed,our_GRE,94.15 ± 2.40,86.16 ± 4.83,89.34 ± 2.44
all_but_depressed -> depressed,TUPL,93.40 ± 1.10,51.80 ± 10.01,63.70 ± 7.42
all_but_depressed -> depressed,our_TUPL_interp_src2tgt,91.57 ± 3.05,43.30 ± 6.52,57.04 ± 6.09
all_but_neutral -> neutral,base,100.00 ± 0.00,93.55 ± 1.75,96.62 ± 0.94
all_but_neutral -> neutral,CCVAE,100.00 ± 0.00,91.27 ± 2.23,95.37 ± 1.23
all_but_neutral -> neutral,our_GRE,96.88 ± 2.13,95.67 ± 0.96,96.14 ± 0.68
all_but_neutral -> neutral,TUPL,96.52 ± 1.63,40.15 ± 9.11,54.07 ± 8.75
all_but_neutral -> neutral,our_TUPL_interp_src2tgt,95.08 ± 2.50,48.67 ± 8.68,61.97 ± 8.79
all_but_old -> old,base,99.36 ± 0.64,64.93 ± 5.48,77.80 ± 3.99
all_but_old -> old,CCVAE,98.43 ± 1.02,66.08 ± 6.44,78.07 ± 4.70
all_but_old -> old,our_GRE,98.43 ± 1.02,83.24 ± 3.47,89.93 ± 1.83
all_but_old -> old,TUPL,86.82 ± 4.29,41.48 ± 4.71,54.89 ± 3.85
all_but_old -> old,our_TUPL_interp_src2tgt,91.28 ± 3.72,57.04 ± 5.98,68.91 ± 4.23
all_but_proud -> proud,base,100.00 ± 0.00,92.81 ± 2.16,96.20 ± 1.16
all_but_proud -> proud,CCVAE,100.00 ± 0.00,91.97 ± 2.52,95.73 ± 1.36
all_but_proud -> proud,our_GRE,100.00 ± 0.00,95.39 ± 1.98,97.59 ± 1.05
all_but_proud -> proud,TUPL,94.84 ± 2.70,67.09 ± 7.25,77.62 ± 5.61
all_but_proud -> proud,our_TUPL_interp_src2tgt,95.34 ± 1.93,60.23 ± 10.46,71.32 ± 9.17
all_but_strutting -> strutting,base,100.00 ± 0.00,62.21 ± 12.02,73.07 ± 9.94
all_but_strutting -> strutting,CCVAE,100.00 ± 0.00,63.46 ± 12.30,73.81 ± 10.36
all_but_strutting -> strutting,our_GRE,100.00 ± 0.00,73.34 ± 9.17,82.87 ± 6.68
all_but_strutting -> strutting,TUPL,94.86 ± 2.36,45.56 ± 3.39,61.15 ± 2.96
all_but_strutting -> strutting,our_TUPL_interp_src2tgt,85.49 ± 5.70,45.63 ± 6.38,58.20 ± 6.40
