domain,method,seen,unseen,H-mean
childlike -> strutting,VisTA,78.65 ± 9.83,34.02 ± 9.88,40.19 ± 10.45
childlike -> strutting,CCVAE,93.75 ± 4.27,22.30 ± 10.02,30.43 ± 13.66
childlike -> strutting,our_GRE,93.23 ± 4.45,26.45 ± 10.61,35.28 ± 13.67
childlike -> strutting,TUPL,96.94 ± 1.94,27.25 ± 13.54,35.12 ± 12.72
childlike -> strutting,our_TUPL_interp_src2tgt,95.56 ± 2.27,49.96 ± 12.94,60.32 ± 12.09
depressed -> angry,base,89.19 ± 5.77,42.65 ± 10.76,52.32 ± 11.96
depressed -> angry,VisTA,71.18 ± 9.72,42.05 ± 10.71,43.69 ± 9.74
depressed -> angry,CCVAE,74.17 ± 9.35,33.41 ± 9.45,39.20 ± 10.07
depressed -> angry,our_GRE,69.64 ± 9.39,50.00 ± 12.91,50.12 ± 11.55
depressed -> angry,TUPL,98.96 ± 1.04,46.59 ± 9.45,60.13 ± 9.78
depressed -> angry,our_TUPL_interp_src2tgt,96.93 ± 1.40,48.08 ± 11.31,60.28 ± 10.47
depressed -> childlike,base,82.49 ± 4.84,25.81 ± 13.03,31.32 ± 12.22
depressed -> childlike,VisTA,55.41 ± 10.15,34.58 ± 9.05,32.62 ± 7.85
depressed -> childlike,CCVAE,72.17 ± 7.70,16.20 ± 12.31,16.12 ± 9.80
depressed -> childlike,our_GRE,68.35 ± 8.60,47.74 ± 12.65,47.02 ± 9.81
depressed -> childlike,TUPL,92.48 ± 3.13,52.97 ± 14.18,60.95 ± 13.21
depressed -> childlike,our_TUPL_interp_src2tgt,86.97 ± 4.37,35.72 ± 9.88,45.31 ± 9.24
depressed -> neutral,base,90.09 ± 5.37,41.05 ± 11.11,50.74 ± 12.23
depressed -> neutral,VisTA,55.68 ± 11.48,46.77 ± 12.51,36.85 ± 8.76
depressed -> neutral,CCVAE,86.09 ± 6.70,36.73 ± 10.73,45.72 ± 12.10
depressed -> neutral,our_GRE,75.10 ± 7.74,49.07 ± 12.68,52.00 ± 11.70
