,domain,method,seen,unseen,H-mean
66,neutral -> proud,base,97.22 ± 2.06,31.34 ± 13.69,39.23 ± 16.04
67,neutral -> proud,CCVAE,95.54 ± 2.83,29.82 ± 14.02,36.93 ± 16.82
68,neutral -> proud,our_GRE,93.45 ± 2.52,34.43 ± 14.21,42.60 ± 15.35
69,neutral -> strutting,base,88.61 ± 7.94,29.41 ± 13.93,36.15 ± 16.57
70,neutral -> strutting,CCVAE,80.69 ± 8.98,29.05 ± 13.68,35.49 ± 16.29
71,neutral -> strutting,our_GRE,80.69 ± 8.98,34.93 ± 15.63,41.37 ± 16.30
72,old -> angry,base,81.48 ± 8.69,12.25 ± 7.68,17.64 ± 10.01
73,old -> angry,CCVAE,76.20 ± 9.31,9.56 ± 7.30,12.92 ± 8.86
74,old -> angry,our_GRE,72.87 ± 9.27,22.53 ± 10.14,27.37 ± 12.37
75,old -> childlike,base,81.75 ± 9.34,14.02 ± 6.35,20.65 ± 9.05
76,old -> childlike,CCVAE,80.56 ± 10.02,10.09 ± 5.56,15.51 ± 8.07
77,old -> childlike,our_GRE,80.56 ± 10.02,21.52 ± 9.33,27.89 ± 11.74
78,old -> depressed,base,86.93 ± 4.38,12.01 ± 6.66,17.43 ± 8.76
79,old -> depressed,CCVAE,70.20 ± 9.17,9.47 ± 6.61,12.11 ± 7.20
80,old -> depressed,our_GRE,72.59 ± 8.40,20.61 ± 9.41,25.19 ± 11.41
81,old -> neutral,base,88.82 ± 3.82,8.64 ± 6.52,12.54 ± 8.61
82,old -> neutral,CCVAE,76.50 ± 9.19,7.10 ± 7.10,7.67 ± 7.67
83,old -> neutral,our_GRE,81.90 ± 6.27,20.08 ± 9.69,26.02 ± 12.04
84,old -> proud,base,80.36 ± 9.39,14.04 ± 6.91,19.43 ± 8.91
85,old -> proud,CCVAE,75.00 ± 11.18,10.53 ± 6.51,13.67 ± 7.34
86,old -> proud,our_GRE,75.00 ± 11.18,27.77 ± 13.46,27.95 ± 12.61
87,old -> strutting,base,73.33 ± 10.54,5.50 ± 5.50,6.62 ± 6.62
88,old -> strutting,CCVAE,71.67 ± 10.14,5.50 ± 5.50,6.62 ± 6.62
89,old -> strutting,our_GRE,71.67 ± 10.14,16.31 ± 8.17,20.12 ± 9.23
90,proud -> angry,base,82.05 ± 8.09,35.86 ± 17.12,37.02 ± 16.29
91,proud -> angry,CCVAE,78.15 ± 8.58,32.84 ± 16.42,33.13 ± 14.95
92,proud -> angry,our_GRE,71.88 ± 10.17,34.39 ± 16.46,32.09 ± 13.35
93,proud -> childlike,base,72.57 ± 8.86,32.02 ± 15.86,31.21 ± 14.12
94,proud -> childlike,CCVAE,68.75 ± 9.61,31.30 ± 15.69,29.49 ± 13.38
95,proud -> childlike,our_GRE,67.36 ± 9.77,32.75 ± 16.21,30.27 ± 13.70
96,proud -> depressed,base,79.81 ± 8.97,20.39 ± 9.25,26.10 ± 11.68
97,proud -> depressed,CCVAE,78.22 ± 9.50,19.20 ± 8.68,24.63 ± 11.02
98,proud -> depressed,our_GRE,71.65 ± 11.16,26.96 ± 12.37,27.44 ± 12.49
99,proud -> neutral,base,78.29 ± 9.25,32.46 ± 16.14,32.47 ± 14.68
100,proud -> neutral,CCVAE,77.10 ± 9.68,31.62 ± 15.85,31.53 ± 14.37
101,proud -> neutral,our_GRE,72.44 ± 10.11,32.46 ± 16.14,29.81 ± 13.48
102,proud -> old,base,75.81 ± 10.07,21.88 ± 9.79,26.34 ± 11.89
103,proud -> old,CCVAE,74.88 ± 10.38,21.88 ± 9.79,25.99 ± 11.75
104,proud -> old,our_GRE,72.92 ± 10.42,25.36 ± 11.35,27.96 ± 12.73
105,proud -> strutting,base,69.72 ± 9.72,25.00 ± 11.18,29.18 ± 13.18
106,proud -> strutting,CCVAE,66.67 ± 10.54,24.47 ± 10.94,27.44 ± 12.51
107,proud -> strutting,our_GRE,64.58 ± 11.37,30.64 ± 14.60,28.08 ± 12.78
108,strutting -> angry,base,66.67 ± 10.54,45.66 ± 12.38,44.84 ± 9.62
109,strutting -> angry,CCVAE,66.67 ± 10.54,35.89 ± 14.11,36.74 ± 10.64
110,strutting -> angry,our_GRE,61.43 ± 9.37,50.00 ± 12.91,44.71 ± 9.14
111,strutting -> childlike,base,66.67 ± 10.54,38.93 ± 12.34,40.21 ± 9.01
112,strutting -> childlike,CCVAE,63.54 ± 8.90,32.72 ± 13.70,33.80 ± 9.38
113,strutting -> childlike,our_GRE,55.21 ± 10.00,47.96 ± 12.65,39.54 ± 8.07
114,strutting -> depressed,base,65.27 ± 10.41,22.62 ± 12.00,23.34 ± 10.66
115,strutting -> depressed,CCVAE,63.60 ± 9.38,23.17 ± 12.45,23.41 ± 10.73
116,strutting -> depressed,our_GRE,56.40 ± 9.36,30.68 ± 15.14,24.80 ± 9.80
117,strutting -> neutral,base,66.67 ± 10.54,47.22 ± 12.49,45.44 ± 9.54
118,strutting -> neutral,CCVAE,66.67 ± 10.54,41.36 ± 13.01,41.68 ± 9.37
119,strutting -> neutral,our_GRE,55.71 ± 10.66,48.15 ± 12.70,38.98 ± 8.29
120,strutting -> old,base,68.96 ± 9.41,9.68 ± 5.29,13.58 ± 6.69
121,strutting -> old,CCVAE,66.88 ± 8.50,10.62 ± 5.12,15.06 ± 6.92
122,strutting -> old,our_GRE,60.42 ± 8.18,30.41 ± 13.33,30.37 ± 10.54
123,strutting -> proud,base,75.00 ± 11.18,37.50 ± 13.31,39.63 ± 9.24
124,strutting -> proud,CCVAE,66.67 ± 10.54,28.95 ± 15.51,27.52 ± 12.62
125,strutting -> proud,our_GRE,64.58 ± 9.36,49.12 ± 12.92,46.13 ± 9.70
