,domain,method,seen,unseen,H-mean
66,depressed -> proud,Our,75.00 ± 11.18,47.15 ± 12.48,48.05 ± 10.12
67,depressed -> proud,Our+GRE,73.96 ± 10.00,48.25 ± 12.59,49.38 ± 10.55
68,depressed -> strutting,Base,73.75 ± 9.44,34.10 ± 11.58,37.90 ± 10.51
69,depressed -> strutting,GZSDA,71.67 ± 10.14,19.77 ± 8.12,24.46 ± 8.92
70,depressed -> strutting,Our,71.67 ± 10.14,44.37 ± 11.21,45.68 ± 9.43
71,depressed -> strutting,Our+GRE,65.28 ± 9.72,49.16 ± 12.91,46.41 ± 9.82
72,neutral -> angry,Base,97.98 ± 1.31,27.94 ± 11.12,37.29 ± 14.21
73,neutral -> angry,GZSDA,97.05 ± 1.35,25.98 ± 11.65,33.98 ± 15.22
74,neutral -> angry,Our,91.13 ± 3.20,38.73 ± 13.65,47.10 ± 13.13
75,neutral -> angry,Our+GRE,93.51 ± 1.98,39.32 ± 13.91,47.66 ± 13.24
76,neutral -> childlike,Base,86.81 ± 5.86,26.14 ± 11.75,32.41 ± 14.50
77,neutral -> childlike,GZSDA,80.56 ± 6.45,25.36 ± 11.35,31.88 ± 14.26
78,neutral -> childlike,Our,67.01 ± 7.84,25.36 ± 11.35,26.95 ± 12.15
79,neutral -> childlike,Our+GRE,69.44 ± 8.40,25.72 ± 11.52,27.61 ± 12.41
80,neutral -> depressed,Base,87.98 ± 3.01,26.26 ± 12.36,32.73 ± 14.89
81,neutral -> depressed,GZSDA,80.85 ± 5.10,22.56 ± 10.10,29.32 ± 13.11
82,neutral -> depressed,Our,70.89 ± 5.90,30.25 ± 14.32,33.95 ± 15.60
83,neutral -> depressed,Our+GRE,79.36 ± 3.99,30.07 ± 14.19,34.88 ± 15.99
84,neutral -> old,Base,84.44 ± 7.54,25.08 ± 14.58,29.96 ± 15.09
85,neutral -> old,GZSDA,82.78 ± 7.47,19.76 ± 9.36,26.68 ± 12.17
86,neutral -> old,Our,72.41 ± 8.44,37.38 ± 17.76,33.67 ± 15.09
87,neutral -> old,Our+GRE,75.93 ± 7.55,36.60 ± 17.42,35.62 ± 16.01
88,neutral -> proud,Base,97.22 ± 2.06,31.34 ± 13.69,39.23 ± 16.04
89,neutral -> proud,GZSDA,95.54 ± 2.83,29.82 ± 14.02,36.93 ± 16.82
90,neutral -> proud,Our,92.06 ± 2.63,34.87 ± 13.82,43.18 ± 14.83
91,neutral -> proud,Our+GRE,93.45 ± 2.52,34.43 ± 14.21,42.60 ± 15.35
92,neutral -> strutting,Base,88.61 ± 7.94,29.41 ± 13.93,36.15 ± 16.57
93,neutral -> strutting,GZSDA,80.69 ± 8.98,29.05 ± 13.68,35.49 ± 16.29
94,neutral -> strutting,Our,79.31 ± 9.74,36.17 ± 15.18,43.21 ± 15.63
95,neutral -> strutting,Our+GRE,80.69 ± 8.98,34.93 ± 15.63,41.37 ± 16.30
